重庆频道,#genre#
CCTV15音乐,http://live.cbncdn.cn/__cl/cg:live/__c/cctv15HD/__op/default/__f/index.m3u8?sig=2000fd3c11b29ac58e9f705b70684fd9&ext_start_limit=1703228271&int_start_limit=1703228271&expires=1703228271&c=null
CCTV16奥林匹克,http://live.cbncdn.cn/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8?sig=bca77e2606bae8b7c178df73d2610f5b&ext_start_limit=1703228082&int_start_limit=1703228082&expires=1703228082&c=null
CCTV17农业农村,http://live.cbncdn.cn/__cl/cg:live/__c/cctv17HD/__op/default/__f/index.m3u8?sig=841238b483e7b2ef748f5c0859d2576b&ext_start_limit=1703228290&int_start_limit=1703228290&expires=1703228290&c=null
CCTV央视文化精品,http://live.cbncdn.cn/__cl/cg:live/__c/yswhHD/__op/default/__f/index.m3u8?sig=0059e78191c6ab31ab5d4e30d1737234&ext_start_limit=1703228295&int_start_limit=1703228295&expires=1703228295&c=null
CCTV中学生,http://live.cbncdn.cn/__cl/cg:live/__c/qicai/__op/default/__f/index.m3u8?sig=1e53e39e8bc92f5dd861916dbb49508d&ext_start_limit=1703228300&int_start_limit=1703228300&expires=1703228300&c=null
CCTV兵器科技,http://live.cbncdn.cn/__cl/cg:live/__c/bqkjHD/__op/default/__f/index.m3u8?sig=297e26c5689411b925a03f856a968bd2&ext_start_limit=1703223121&int_start_limit=1703223121&expires=1703223121&c=null
CCTV老故事,http://live.cbncdn.cn/__cl/cg:live/__c/gushi/__op/default/__f/index.m3u8?sig=2bf178088c3d76314f47420db6175b40&ext_start_limit=1703228320&int_start_limit=1703228320&expires=1703228320&c=null
CCTV怀旧剧场,http://live.cbncdn.cn/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8?sig=a3dc40b762ef574516667be53102e73b&ext_start_limit=1703226994&int_start_limit=1703226994&expires=1703226994&c=null
CCTV第一剧场,http://live.cbncdn.cn/__cl/cg:live/__c/diyijuchangHD/__op/default/__f/index.m3u8?sig=818b27b17eef70dfe4ab55e438b863a1&ext_start_limit=1703225999&int_start_limit=1703225999&expires=1703225999&c=null
CCTV女性时尚,http://live.cbncdn.cn/__cl/cg:live/__c/nvxing/__op/default/__f/index.m3u8?sig=96c727c1161d19392edf250a5e2b4c8e&ext_start_limit=1703223870&int_start_limit=1703223870&expires=1703223870&c=null
CCTV发现之旅,http://live.cbncdn.cn/__cl/cg:live/__c/faxian/__op/default/__f/index.m3u8?sig=f9123ef27fa65e0816813a468189b286&ext_start_limit=1703223211&int_start_limit=1703223211&expires=1703223211&c=null
CCTV书画频道,http://live.cbncdn.cn/__cl/cg:live/__c/shuhua/__op/default/__f/index.m3u8?sig=aaab88a18b9f9dd5dca91be6305fb7c9&ext_start_limit=1703228085&int_start_limit=1703228085&expires=1703228085&c=null
CCTV风云剧场,http://live.cbncdn.cn/__cl/cg:live/__c/fyjcHD/__op/default/__f/index.m3u8?sig=a616fb4f09e79d696e5eb5332b5b8418&ext_start_limit=1703225964&int_start_limit=1703225964&expires=1703225964&c=null
CCTV风云足球,http://live.cbncdn.cn/__cl/cg:live/__c/fyzqHD/__op/default/__f/index.m3u8?sig=9cd926b362a3bae45a1e2475b189a961&ext_start_limit=1703226282&int_start_limit=1703226282&expires=1703226282&c=null
CCTV央视台球,http://live.cbncdn.cn/__cl/cg:live/__c/ystqHD/__op/default/__f/index.m3u8?sig=10f0d90b2bb282895cd5e24a9e46302d&ext_start_limit=1703224908&int_start_limit=1703224908&expires=1703224908&c=null
CCTV高尔夫·网球,http://live.cbncdn.cn/__cl/cg:live/__c/golfHD/__op/default/__f/index.m3u8?sig=ebf9769f30e00ef3cca2c3c0e2871703&ext_start_limit=1703228414&int_start_limit=1703228414&expires=1703228414&c=null
卫视频道,#genre#
安徽卫视,http://live.cbncdn.cn/__cl/cg:live/__c/anhuiSD/__op/default/__f/index.m3u8?sig=567a824fb928c75209f9f2fee1fcbd12&ext_start_limit=1703228354&int_start_limit=1703228354&expires=1703228354&c=null
北京卫视,http://live.cbncdn.cn/__cl/cg:live/__c/beijingHD/__op/default/__f/index.m3u8?sig=658852931023d80a9a57ae7c42741ac0&ext_start_limit=1703226024&int_start_limit=1703226024&expires=1703226024&c=null
湖南卫视,http://live.cbncdn.cn/__cl/cg:live/__c/hunanHD/__op/default/__f/index.m3u8?sig=742a47ada38dbe4fc00dd466f8802355&ext_start_limit=1703228106&int_start_limit=1703228106&expires=1703228106&c=null
浙江卫视,http://live.cbncdn.cn/__cl/cg:live/__c/zhejiangHD/__op/default/__f/index.m3u8?sig=7c694de8eda584fdaf39afbabdefd64a&ext_start_limit=1703228350&int_start_limit=1703228350&expires=1703228350&c=null
东方卫视,http://live.cbncdn.cn/__cl/cg:live/__c/shanghaiHD/__op/default/__f/index.m3u8?sig=5fd6c17614609f7ba4b8662522afc923&ext_start_limit=1703205177&int_start_limit=1703205177&expires=1703205177&c=null
江苏卫视,http://live.cbncdn.cn/__cl/cg:live/__c/jiangsuHD/__op/default/__f/index.m3u8?sig=74cf72b97b0dd785229f9c49fbf17842&ext_start_limit=1703224133&int_start_limit=1703224133&expires=1703224133&c=null
天津卫视,http://live.cbncdn.cn/__cl/cg:live/__c/tianjinHD/__op/default/__f/index.m3u8?sig=c2abe24e682d175efb73143587be68bf&ext_start_limit=1703226256&int_start_limit=1703226256&expires=1703226256&c=null
辽宁卫视,http://live.cbncdn.cn/__cl/cg:live/__c/liaoningHD/__op/default/__f/index.m3u8?sig=7e1eb0d9b5b2604edb5d6f69c4929636&ext_start_limit=1703228498&int_start_limit=1703228498&expires=1703228498&c=null
江西卫视,http://live.cbncdn.cn/__cl/cg:live/__c/jiangxiHD/__op/default/__f/index.m3u8?sig=a127d9da1219526b910f7e974829dbd3&ext_start_limit=1703227811&int_start_limit=1703227811&expires=1703227811&c=null
黑龙江卫视,http://live.cbncdn.cn/__cl/cg:live/__c/heilongjiangHD/__op/default/__f/index.m3u8?sig=df3fbc8383902d700419b88db7ba3513&ext_start_limit=1703224820&int_start_limit=1703224820&expires=1703224820&c=null
四川卫视,http://live.cbncdn.cn/__cl/cg:live/__c/sichuanHD/__op/default/__f/index.m3u8?sig=c062e84a5b5ecfced1a4150e170fd2c4&ext_start_limit=1703224696&int_start_limit=1703224696&expires=1703224696&c=null
